run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5 -0.025599412    1.4658462   -0.7824633 
   14700    1.5545654   0.24102893   0.88311059   -1.4469856 
   14800    1.5567847   0.24329943   0.87323951   -1.4601831 
   14900    1.5331824   0.23067428   0.80261991   -1.4954258 
   15000     1.489845   0.21769715   0.72996924   -1.5031192 
   15100    1.4702795   0.19315725   0.70764413   -1.4961181 
   15200    1.4789925   0.21514535   0.71484498    -1.501977 
   15300    1.5053147   0.23277448   0.73687746   -1.5193981 
   15400    1.4991855    0.2561103   0.75855064   -1.4885381 
   15500    1.5023944   0.22864508   0.77884534    -1.473053 
   15600    1.5314394   0.22612178   0.80154855   -1.4938847 
   15700     1.525662   0.24010965   0.82026909   -1.4665045 
   15800    1.5126055   0.24801313    0.8299763   -1.4372272 
   15900    1.5206246   0.25870518   0.82211063   -1.4571126 
   16000    1.5078694   0.23903276   0.78389634   -1.4762084 
   16100    1.4806669   0.26848751   0.73030109   -1.4890306 
   16200    1.4524523   0.25465954   0.69270294   -1.4843387 
   16300    1.4554156    0.2313976   0.68404738   -1.4974358 
   16400    1.4556472   0.24446302    0.7095211   -1.4723092 
   16500    1.4963557   0.25250161   0.76814179   -1.4747054 
   16600    1.5220008   0.24859101   0.81314148   -1.4681444 
   16700    1.5467905   0.18092978   0.82122042   -1.4972221 
   16800     1.511808   0.23955009   0.80806628    -1.457942 
   16900     1.521092   0.20372929   0.78849691   -1.4914269 
   17000     1.532257   0.20298567    0.7667723   -1.5298864 
   17100    1.4756207   0.28763797   0.74245898   -1.4693092 
   17200    1.5025292    0.1962511   0.72759028   -1.5245103 
   17300    1.4810928   0.20524348   0.72374245   -1.4962275 
   17400    1.4942925   0.22487704   0.73564385   -1.5041109 
   17500    1.5168784   0.19376357   0.76437113   -1.5092369 
   17600    1.5414428   0.27112508   0.83838268   -1.4720443 
   17700    1.5828664   0.24426632   0.91403059   -1.4584852 
   17800    1.5912234   0.26845413   0.91344704   -1.4715949 
   17900    1.5503541    0.2865855    0.8523087   -1.4714752 
   18000     1.523487   0.25760178   0.79328333   -1.4902303 
   18100    1.5052377   0.24553144   0.75676883   -1.4993914 
   18200    1.4796655   0.19910598   0.73156872    -1.486262 
