run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 10 10 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.732 | 2.732 | 2.732 Mbytes
Step Temp Press TotEng PotEng 
       0            4 -0.0079782017    3.6641685   -2.3313236 
   16600    4.0193776    2.2891319    4.2045014   -1.8200353 
   16700    4.0438667    2.2818005    4.2331076   -1.8281351 
   16800     4.051761    2.3540836    4.2444856   -1.8285897 
   16900    4.0211659    2.3251714    4.2235153   -1.8037019 
   17000    3.9746568    2.4013938    4.1460424   -1.8114635 
   17100     3.950957    2.1344548    4.0369424   -1.8850404 
   17200    3.8278331    2.2993083    3.9618487   -1.7755871 
   17300    3.8288888    2.2857654     3.969306   -1.7697121 
   17400    3.9669187    2.2039363    4.0903225    -1.855585 
   17500    4.0306518    2.5249344    4.2639151   -1.7775201 
   17600    4.0576812    2.4707813     4.339152   -1.7427969 
   17700    4.0368432    2.5866279     4.327572   -1.7231434 
   17800    4.0620342    2.3021011    4.2604179   -1.8280556 
   17900    4.0390792     2.226863    4.1663133   -1.8877535 
   18000    3.9380248    2.2834297    4.0990604   -1.8035388 
   18100    3.9464946    2.3586138    4.0782612   -1.8370332 
   18200    3.9510249     2.366045    4.0931232   -1.8289614 
   18300    3.9686443    2.2814661    4.1149063   -1.8335875 
   18400    3.9504303    2.3818362    4.1370034   -1.7841901 
   18500    3.9402652    2.4538998     4.165333   -1.7406242 
   18600    4.0492867    2.2181891    4.1921477   -1.8772189 
   18700    4.0324935    2.3299612    4.2050481   -1.8391476 
   18800    4.0748042    2.1670655    4.1928164   -1.9147977 
   18900    3.9669384    2.4563665    4.1646382   -1.7812988 
   19000    4.0097431    2.2147616    4.1432011   -1.8668946 
   19100     3.934512    2.4520528     4.133867   -1.7634669 
   19200    3.9917322     2.274484    4.1343606   -1.8487392 
   19300    4.0084087    2.2282991    4.1429909   -1.8651048 
   19400    3.9898013    2.2940369    4.1595904   -1.8206152 
   19500    3.9833216    2.4141594    4.1795059   -1.7909874 
   19600    4.0191693    2.3890719    4.1989165   -1.8253079 
   19700     4.006398     2.359662    4.2003271   -1.8047548 
   19800    4.0145714    2.3384064    4.1873358   -1.8299971 
   19900    4.0079981    2.2396645    4.1424694   -1.8650109 
   20000    3.9684636    2.2093035    4.0686105   -1.8796125 
   20100    3.9295565    2.1156778    4.0163005   -1.8736057 
   20200    3.9049723    2.3311155    4.0227175   -1.8303401 
   20300    3.9899018    2.2859287    4.1061305   -1.8742257 
   20400    4.0491796    2.2978051    4.2443372   -1.8248689 
   20500     4.142905    2.4218262    4.3543432   -1.8553453 
   20600    4.1086382    2.4594951    4.3683162   -1.7900108 
   20700    4.1023497    2.2394618     4.276856   -1.8720452 
   20800    3.9247404      2.46474    4.1060802   -1.7766074 
   20900    3.8638775    2.3497746    3.9988097   -1.7926521 
   21000    3.9199948     2.216253    3.9926725    -1.882902 
   21100    3.9534277    2.1827527    4.0355476   -1.8901386 
   21200    3.9540222    2.3373101    4.0920633   -1.8345139 
   21300     3.995586    2.2528764    4.1541122    -1.834764 
   21400    3.9966228    2.4205449    4.2093579   -1.7810722 
   21500    4.0478038    2.3687169    4.2537629    -1.813381 
   21600    4.0422089    2.4565149    4.2650594   -1.7936984 
   21700    4.0992799    2.1521467    4.2161834   -1.9281167 
   21800    3.9412649    2.2505861    4.0579901   -1.8494655 
   21900    3.8600752    2.2122378     3.893319   -1.8924436 
   22000    3.7984526    2.2425092    3.8468436   -1.8465546 
   22100    3.8540261    2.1995042    3.9295457   -1.8471501 
   22200    3.9472688    2.2907965    4.0817245   -1.8347302 
   22300     4.013501    2.2738839    4.1842024   -1.8315261 
   22400    4.0493506    2.3799995     4.219709   -1.8497534 
   22500    4.0318658    2.3396296    4.2160902   -1.8271647 
   22600    3.9796787     2.465798    4.1842053   -1.7808277 
   22700    3.9946339    2.2623253     4.141708    -1.845741 
   22800    3.9530239    2.2764123    4.0901742   -1.8349067 
   22900    3.9449154      2.19062     4.040962   -1.8719654 
   23000     3.930065    2.1956076    4.0174407   -1.8732277 
   23100    3.9362348    2.2839992    4.0650177   -1.8348984 
   23200    4.0187116    2.3542177    4.2088479   -1.8146906 
   23300    4.1898112    2.1466139    4.3443117   -1.9356834 
   23400    4.1760452    2.2561286    4.3783321   -1.8810294 
   23500    4.0948993    2.3846812    4.3063526   -1.8313815 
   23600    3.9616292    2.4170734    4.1699381    -1.768041 
   23700    3.9577625    2.2248111    4.0520829   -1.8801005 
   23800    3.9426898    2.1999317    4.0147878   -1.8948037 
   23900    3.9095613    2.2851118    4.0381127   -1.8218233 
   24000    3.9339023    2.3469778    4.0951033   -1.8013168 
   24100    3.9956668    2.3552145    4.1400354   -1.8489617 
   24200    3.9787826     2.390929    4.1663672   -1.7973228 
   24300    4.0458633    2.2417148    4.1863028   -1.8779327 
   24400    4.0050829    2.3357554    4.1956295   -1.8074812 
   24500       3.9717    2.3804388    4.1940141     -1.75906 
   24600     4.060364    2.2199025    4.1801816   -1.9057885 
   24700    3.9683828    2.2951194    4.1124428   -1.8356591 
   24800    3.8492782    2.2883492    3.9505574    -1.819022 
   24900    3.7691731      2.20376    3.8111053   -1.8384065 
   25000    3.7967873    2.1304758    3.8166946   -1.8742075 
   25100    3.8794855    2.1974479    3.9706382    -1.844218 
   25200    4.0190534    2.2302378    4.1353936   -1.8886572 
   25300    4.0023488    2.4724184    4.2064086    -1.792604 
   25400    4.0432214    2.3442441    4.2267201   -1.8335555 
   25500    4.0189515    2.3690315     4.218984    -1.804914 
   25600    4.0286544    2.2606467    4.1931407   -1.8453007 
   25700    4.0110587    2.3476534    4.1540043   -1.8580634 
   25800    4.0303553    2.1202375    4.0962828   -1.9447081 
   25900    3.8951945    2.3221668    4.0234538   -1.8149482 
   26000    3.8347514    2.3418037    3.9631787   -1.7846268 
   26100    3.8781049    2.3663946    3.9821795   -1.8306073 
   26200    3.9624013    2.3230221    4.1021991   -1.8369374 
   26300     4.012035    2.5934534    4.2717325   -1.7417986 
   26400    4.2360985     2.125546    4.3637207    -1.985653 
   26500    4.1177875    2.4204543     4.336992   -1.8350486 
   26600     4.050589    2.3611049    4.2345217   -1.8367968 
   26700    3.9696392    2.2918248    4.1254014   -1.8245837 
   26800    3.9679587    2.2041834    4.0619725   -1.8854938 
   26900    3.9314786    2.2913628    4.0471306   -1.8456566 
   27000    3.9940431    2.1371409    4.0709015    -1.915662 
   27100    4.0015784    2.2307098    4.1027359    -1.895122 
   27200     3.996408     2.351201    4.1316551   -1.8584531 
   27300    3.9756039    2.3699819     4.155927   -1.8029985 
   27400    3.9863174     2.357617    4.1759982   -1.7989854 
   27500     4.009365     2.268393    4.1907319   -1.8187972 
   27600    4.0197284    2.3159971    4.1960436   -1.8290188 
   27700    4.0474399    2.2865546    4.1956243   -1.8709741 
   27800    4.0134307    2.3452978     4.171001   -1.8446219 
   27900    3.9022769    2.4795882     4.075988   -1.7730295 
   28000    3.8968085     2.251016    3.9650646   -1.8757566 
   28100    3.8945102    2.1576865    3.9193804   -1.9179958 
   28200    3.8914732    2.1686864    3.9670774   -1.8657469 
   28300     3.992189    2.2606081    4.1075032   -1.8762811 
   28400    4.1035333    2.2258261    4.2444297   -1.9062457 
   28500    4.0992855    2.3297777    4.3029683   -1.8413402 
   28600    4.0275076    2.5889133    4.2940034    -1.742719 
   28700      4.02025    2.3785746    4.2208263    -1.805018 
   28800    3.9151493    2.4475343    4.0985267    -1.769785 
   28900    3.9172275    2.1578542     3.987542   -1.8838846 
   29000    3.8996343    2.1264956    3.9354555   -1.9096012 
   29100    3.8891114    2.2771783    3.9847364   -1.8445478 
   29200    4.0434186    2.4208298    4.2545613   -1.8060098 
   29300    4.1404702    2.4176309    4.4255511   -1.7804879 
   29400    4.1084826    2.5137314    4.4202177   -1.7378761 
   29500     4.035446      2.54169    4.3138118   -1.7348093 
   29600    3.9639082    2.4079364    4.1629383   -1.7784568 
   29700     3.944645    2.2830686    4.0659502   -1.8465718 
   29800    3.9659735    2.1484239     4.036474   -1.9080167 
   29900    3.9183974     2.330642    4.0640244   -1.8091557 
   30000    4.0483059    2.1553585    4.1497605    -1.918136 
   30100    4.0754952    2.3098246    4.2738121   -1.8348378 
   30200    4.1607781    2.3839891    4.3863094   -1.8501686 
   30300    4.2234491     2.201702     4.409915   -1.9204989 
   30400    4.0418367    2.4292753    4.2694384   -1.7887616 
   30500    3.8983874    2.2135196    4.0013255   -1.8418622 
   30600    3.8045545      2.30408     3.917638   -1.7849061 
   30700    3.9156686    2.1186147    3.9636575   -1.9054326 
   30800    3.9658573    2.2929318    4.0837363   -1.8605802 
   30900     4.073957    2.1754969    4.2078946   -1.8984497 
   31000     4.031229     2.419555    4.2794184    -1.762882 
   31100    4.1253182     2.248487    4.2934637   -1.8898646 
   31200    4.0508865    2.3551368    4.2314231   -1.8403415 
   31300    3.9823072    2.3057134    4.1150546   -1.8539182 
   31400    3.8726074    2.3390033    3.9914746   -1.8130721 
   31500    3.8188053    2.2892661    3.9155681   -1.8083361 
   31600    3.8691206    2.1655597      3.92923   -1.8700905 
   31700    4.0096595    2.2295881    4.1476869   -1.8622835 
   31800    4.0749569    2.5583424    4.3594019   -1.7484411 
   31900    4.1446132    2.4450233    4.4025547   -1.8096943 
   32000    4.1460168    2.2725748    4.3362172   -1.8781357 
   32100    4.0360343    2.3208722    4.2012934   -1.8482095 
   32200    3.9836273    2.2192677    4.0713571   -1.8995944 
   32300    3.9082718    2.2423008    4.0033284   -1.8546747 
   32400    3.9623279    2.1109048    4.0031343   -1.9358921 
   32500    3.9820532    2.1253437    4.0606454   -1.9079467 
   32600    4.0206764    2.2364566    4.1744425   -1.8520409 
   32700    4.0921126    2.3932041    4.3155655   -1.8179917 
