run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
   16500     1.002056 -0.016547065   -2.4055888   -3.9075435 
   16600   0.95858396 -0.049631855   -2.4620784    -3.898874 
   16700    0.9731497  -0.26747376    -2.505466   -3.9640938 
   16800   0.94401274 -0.070115297   -2.5047321   -3.9196874 
   16900   0.97211463 -0.093121432   -2.4810543   -3.9381307 
   17000   0.97211215  0.028910632   -2.4500903    -3.907163 
   17100    1.0105334  -0.13100683    -2.420472   -3.9351333 
   17200   0.98975491  0.092486542   -2.4041236   -3.8876405 
   17300    1.0220256 -0.051405192    -2.392785   -3.9246716 
   17400    1.0079669  0.087936161   -2.3951865   -3.9060009 
   17500    1.0000288 -0.071903288   -2.4065535   -3.9054697 
   17600    0.9891505 -0.065751012    -2.422762    -3.905373 
   17700   0.98046656 -0.092462637   -2.4425964   -3.9121913 
   17800   0.97494596 -0.017341545   -2.4669459   -3.9282661 
   17900   0.97212344 -0.091338761   -2.4860596   -3.9431492 
   18000   0.96465059 -0.049896337   -2.4867227   -3.9326114 
   18100   0.96882115  0.086120619   -2.4618759   -3.9140158 
   18200   0.98218954  0.087285358   -2.4177354   -3.8899128 
   18300     1.041677  -0.20176901   -2.3857608   -3.9471024 
   18400   0.99859355  0.050153717   -2.3757742   -3.8725391 
   18500    1.0150679  0.027846139   -2.3749921   -3.8964501 
   18600    1.0357436 -0.0025864749   -2.3867662   -3.9392144 
   18700    1.0123304 -0.075987706   -2.4203305   -3.9376852 
   18800   0.97510538 -0.081925879   -2.4577345   -3.9192937 
   18900    0.9697043 0.0097326647   -2.4694841   -3.9229478 
   19000   0.97573534 -0.088988022   -2.4603713   -3.9228747 
   19100    1.0003496  -0.17203357   -2.4432884   -3.9426855 
   19200   0.99731939 -0.032036293   -2.4246982   -3.9195533 
   19300   0.99175213  0.094468391   -2.4082487   -3.8947592 
   19400    1.0159682  0.069389974   -2.3973349   -3.9201422 
   19500     1.021521 0.0046136976   -2.3990071   -3.9301374 
   19600    1.0030843  0.056268664   -2.4186166   -3.9221125 
   19700   0.98107049   -0.1969035    -2.460771    -3.931271 
   19800   0.96429789  -0.20569564   -2.4963565   -3.9417166 
   19900   0.94758092 -0.085552712   -2.5044505   -3.9247539 
   20000   0.97204079  -0.10469703   -2.4830322   -3.9399979 
   20100   0.98991931 -0.056463706   -2.4327387   -3.9165021 
   20200    1.0262938  0.038017152   -2.3941762   -3.9324604 
   20300   0.99661431  0.087642161   -2.3902205   -3.8840188 
   20400    1.0338476 -0.088621807   -2.3984927    -3.948099 
   20500   0.99807142  0.061836303   -2.4176734   -3.9136557 
   20600    1.0004295 -0.039944309   -2.4426094   -3.9421263 
   20700   0.98481589 -0.064880872   -2.4652973   -3.9414113 
   20800   0.98383684  -0.13661205   -2.4815456   -3.9561921 
   20900   0.98823809  -0.12308833   -2.4883986    -3.969642 
   21000   0.96038748  0.026298859   -2.4755396   -3.9150385 
   21100   0.99602874 -0.026156208    -2.428624   -3.9215446 
   21200     1.036807  -0.11350731   -2.3809021   -3.9349442 
   21300    1.0452126 0.0064860328   -2.3678904   -3.9345314 
   21400    1.0403838 0.0033569182   -2.3814743   -3.9408774 
   21500    1.0030164   0.20417991   -2.4103791   -3.9137734 
   21600   0.99812176 -0.014928455   -2.4386159   -3.9346737 
   21700   0.97785204  -0.09501467   -2.4559483   -3.9216244 
   21800   0.97970306 -0.043654928   -2.4615979   -3.9300484 
   21900   0.99093148  -0.12835415   -2.4587512   -3.9440317 
   22000    1.0051246 -0.070952145   -2.4423274   -3.9488816 
   22100    1.0061676  -0.02516739   -2.4180161   -3.9261336 
   22200    1.0480469  -0.13227379   -2.3731093   -3.9439985 
   22300    1.0586727 -0.011214252   -2.3276654   -3.9144814 
   22400    1.0474485  0.066261058   -2.3158107    -3.885803 
   22500    1.0380819  0.073833646   -2.3323867   -3.8883397 
   22600    1.0154906   0.10948834    -2.358918   -3.8810094 
   22700   0.98775513  0.096045962   -2.3817683   -3.8622878 
   22800    1.0036894 -0.0064749909   -2.4037563   -3.9081593 
   22900    1.0027916 -0.078580602   -2.4291143   -3.9321716 
   23000   0.97588697  0.000116376   -2.4551632   -3.9178939 
   23100   0.99063455  -0.18036998   -2.4704996    -3.955335 
   23200   0.99843154 -0.063742436   -2.4766976   -3.9732198 
   23300   0.98193385 -0.044760299   -2.4756523   -3.9474465 
   23400   0.99272022 -0.075282972   -2.4582432   -3.9462047 
   23500    1.0006137  0.089147064   -2.4103215   -3.9101144 
   23600    1.0442468  0.030834443   -2.3686158   -3.9338092 
   23700    1.0344582   0.10161648   -2.3603663   -3.9108878 
   23800    1.0096032   0.17311836    -2.375233      -3.8885 
