run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            4   0.32903058    5.9198073 -0.075684814 
    4900    3.9622965   0.34320104    5.5172436  -0.42173574 
    5000    3.9412383    0.3531207    5.4853906  -0.42202516 
    5100     3.957286   0.34970521    5.4923604  -0.43910889 
    5200    3.9968893   0.35372184    5.5502283  -0.44060124 
    5300    4.0471591   0.37974128    5.6528521  -0.41332548 
    5400    4.1136016   0.37332655    5.7501094  -0.41565707 
    5500    4.1404641   0.36335253    5.7791813  -0.42684863 
    5600    4.0920282   0.34790266    5.6929385  -0.44049221 
    5700     3.934082   0.37097692    5.5026376  -0.39405181 
    5800    3.8584548   0.34190244    5.3780413  -0.40529245 
    5900    3.8649585    0.3537162    5.3825673  -0.41051478 
    6000     3.921183    0.3525977    5.4620137  -0.41534175 
    6100    3.9961951   0.35036238    5.5526744  -0.43711459 
    6200    4.0288916   0.37325777    5.6072077  -0.43158922 
    6300    4.0462672   0.35456994    5.6209054  -0.44393533 
    6400    4.0312254   0.36168355    5.6076707  -0.43462435 
    6500    4.0136759   0.35068222    5.5777305  -0.43826009 
    6600    4.0047185   0.35596664    5.5362371   -0.4663275 
    6700    3.9516435   0.36261595    5.4823722  -0.44063978 
    6800    3.8847173    0.3509204    5.3890714  -0.43362651 
    6900    3.7995589   0.34090077    5.2786402  -0.41641618 
    7000    3.8076248   0.34100245    5.2718121  -0.43533395 
    7100    3.8856055   0.35283993    5.4133954  -0.41063394 
    7200    4.0461632   0.34903542    5.5990515  -0.46563335 
    7300    4.0889623   0.36733809    5.6893334  -0.43950184 
    7400    4.0913415   0.36978591    5.6998206  -0.43258082 
    7500    4.0541298   0.36154473    5.6485594  -0.42806636 
    7600    3.9842024   0.34859683    5.5496171  -0.42219636 
    7700    3.9328199   0.34534273    5.4530894  -0.44170826 
    7800    3.8975253   0.35140105    5.4034439  -0.43845165 
    7900    3.8788602   0.36058322    5.4308008  -0.38311805 
    8000    4.0102827   0.37528017     5.605695  -0.40520965 
    8100    4.1771597   0.36341912    5.8161064  -0.44492561 
    8200    4.1741752   0.37819402     5.848779  -0.40777968 
    8300    4.1280663   0.37134738    5.7607627  -0.42668454 
    8400    4.0417794   0.35546469    5.6313132   -0.4268009 
    8500    3.9772541   0.36171155    5.5368225  -0.42457632 
    8600    3.9559774   0.35116844    5.4943161  -0.43519172 
    8700    3.9382536   0.36982827    5.4954178  -0.40752437 
    8800    3.9831932   0.33809623    5.5264948   -0.4438061 
    8900     4.007135   0.36337485    5.5879223   -0.4182642 
    9000    4.0687936   0.35717809    5.6824214   -0.4161836 
    9100    4.1465253   0.38024896    5.8196913  -0.39542356 
    9200    4.2172707   0.38676527    5.9301622   -0.3909911 
    9300    4.1656868   0.39944931    5.8893709  -0.35446464 
    9400    4.0719314   0.35266216    5.6612461  -0.44206198 
    9500    3.9466186   0.35171696    5.4974609  -0.41801933 
    9600    3.9043708   0.35494585     5.453632  -0.39852414 
    9700    3.9355622   0.35873792    5.4759678  -0.42294032 
    9800    3.9808919   0.36534852    5.5458054  -0.42104611 
    9900    4.0515317   0.35863542    5.6333852  -0.43934641 
   10000    4.0918111   0.36538353    5.6950707  -0.43803456 
   10100    4.1025585   0.35146327    5.6991177  -0.45009658 
   10200    4.0285503   0.36325949    5.6085583  -0.42972704 
   10300    3.8976197   0.33697371    5.4242876  -0.41774953 
   10400    3.8372037   0.33665367    5.3105254  -0.44095564 
   10500    3.8304677   0.36107619    5.3281902  -0.41319458 
   10600    3.9265565   0.35405399    5.4464156  -0.43899406 
   10700    3.9790408   0.37371671    5.5723312  -0.39174577 
   10800    4.0406669   0.36025456    5.6244552  -0.43199151 
   10900    4.0076484   0.37739134    5.6282525  -0.37870364 
   11000    4.0196487   0.35807473    5.6119093  -0.41303373 
   11100    3.9989364   0.35800939    5.5856066  -0.40829123 
   11200    3.9930561   0.35234508    5.5481485  -0.43693554 
   11300    3.9524014    0.3546418    5.5026564  -0.42149152 
   11400    3.9026552   0.37448219    5.4554647  -0.39411993 
   11500    3.9129916   0.36059424    5.4323118  -0.43276568 
   11600    3.9276223   0.35674267     5.463388  -0.42361923 
   11700    4.0063179   0.35499052    5.5676334  -0.43732847 
   11800     4.089943    0.3643871    5.6903774  -0.43992786 
   11900    4.1035091   0.36892408    5.7523135  -0.39832554 
   12000    4.0943864   0.37803477    5.7283831  -0.40858229 
