run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0            2 -8.5924327e-05     1.997072   -1.0006741 
   33500    2.0651381   0.47042355    1.6364296   -1.4589502 
   33600    2.0829826   0.51364563    1.6343441   -1.4877823 
   33700    2.0135775   0.51969472    1.5614569     -1.45664 
   33800    2.0010627   0.45907981    1.4719218    -1.527417 
   33900    1.9603706   0.42519135     1.425776   -1.5125706 
   34000    1.9680282   0.42865495    1.4235807   -1.5262436 
   34100    1.9847075    0.4445144    1.4491315   -1.5256931 
   34200    2.0020818    0.4297938    1.4849704    -1.515896 
   34300    2.0274516   0.49297143    1.5242343   -1.5146582 
   34400    2.0767018   0.42472443    1.5502708   -1.5624415 
   34500    2.0324938   0.50873225     1.536475   -1.5099751 
   34600    1.9893226   0.43519134    1.4460647   -1.5356772 
   34700    1.8982111   0.44291347    1.3453029   -1.4998744 
   34800    1.9260428   0.40843189    1.3292752   -1.5576184 
   34900    1.9432626   0.44497113    1.3711107   -1.5415931 
   35000    1.9424579   0.55575685    1.4445784   -1.4669193 
   35100    2.0084968   0.43121869     1.505636   -1.5048458 
   35200    2.0353185   0.48467491    1.5350476   -1.5156365 
   35300    2.0153396   0.46505184    1.5364663   -1.4842719 
   35400    2.0042311   0.47416023    1.5178947   -1.4861932 
   35500    2.0109599   0.47117903    1.4838056    -1.530368 
   35600    1.9865185   0.44212298    1.4374827   -1.5400562 
   35700    1.9539079   0.41931544     1.384535   -1.5441248 
   35800    1.8822966   0.39744668    1.3381905   -1.4831331 
   35900    1.9113088   0.37962934    1.3504824   -1.5143268 
   36000    1.9849097   0.42681764    1.4584751   -1.5166525 
   36100    2.0459475   0.46778143    1.5474196   -1.5191959 
   36200    2.0602627    0.4689544    1.5707864   -1.5172858 
   36300    2.0329432   0.50739883    1.5498294   -1.4972944 
   36400    2.0164432   0.46640195    1.4966006   -1.5257916 
   36500    1.9543544   0.47423097    1.4385734   -1.4907556 
   36600    1.9610067   0.47904348     1.403122   -1.5361781 
   36700    1.9432599   0.46894363      1.39295   -1.5197499 
   36800    1.9894296   0.41042509    1.4134796   -1.5684227 
   36900     2.001321   0.48279921      1.48374   -1.5159861 
   37000    2.0734992   0.48071171    1.5891652   -1.5187469 
   37100    2.0845218   0.51290324    1.6275438   -1.4968898 
   37200    2.0922101   0.46099469    1.5992986   -1.5366587 
   37300    2.0356111   0.48767559    1.5450133   -1.5061092 
   37400    2.0145379   0.43934023    1.4987212   -1.5208153 
   37500    1.9990711   0.43265458    1.4645042   -1.5318495 
   37600    1.9911865     0.411012    1.4450184   -1.5395174 
   37700     1.974926   0.48715511    1.4434304   -1.5167329 
   37800    2.0148867   0.41870918    1.4597477   -1.5603117 
   37900     1.979131   0.51738073    1.4904182   -1.4760479 
   38000    2.0356149   0.50581721    1.5522067   -1.4989216 
   38100    2.0762202   0.49320895    1.6200604     -1.49193 
   38200    2.1088301   0.46308213    1.6444861   -1.5163825 
