T_imp,v_imp,N_avg_points,time,Temp,Temp_std,Press,Press_std,P_tail_corr
1,1.19444444444444,18,191.577635288239,1.00071867606667,0.003412327750815,0.130240124730703,0.012180866972838,-0.304723487664642
1,1.23333333333333,18,186.815564155579,1.00132564845,0.00332072734225,0.059460017525312,0.011494985847195,-0.348505914277601
1,1.27222222222222,18,182.43492436409,0.999765458205556,0.002712969746099,0.006997346737816,0.012051061960732,-0.376408632991303
1,1.31111111111111,18,179.617674589157,1.00073066308889,0.002260489558902,-0.027728830074759,0.009252080484055,-0.3887276986286
1,1.35,18,176.193109035492,1.00060402972778,0.003242678033128,-0.04996402321926,0.009076098149105,-0.390464166879181
1,12,18,39.3312382698059,1.0001905311,0.001821551230674,0.052759060025556,0.000847481388484,0.04844960508236
1,15.1111111111111,18,33.3285245895386,0.99970162905,0.002123134800459,0.048054127493333,0.000474334903774,0.045336486789536
1,18.2222222222222,18,29.310649394989,0.9999948036,0.002684362705058,0.043048397889445,0.000458784996274,0.041179514692783
1,21.3333333333333,18,26.3980588912964,0.998793490211111,0.002071391535203,0.038945977102778,0.000296305913945,0.037582438624658
1,24.4444444444444,18,24.5603611469269,0.999332641694445,0.001974814815759,0.035560834004445,0.000179407660728,0.034522290978465
1,27.5555555555556,18,22.8923470973969,0.999628016761111,0.002447390360827,0.032398002749445,0.000184517134654,0.031580730987325
1,30.6666666666667,18,21.2570817470551,1.00015555622778,0.001574464592623,0.030012833038889,0.000153405384864,0.029352973208267
1,33.7777777777778,18,20.2531845569611,0.999693649555556,0.001589755988581,0.027934247225556,0.000132355711926,0.027390342680267
1,36.8888888888889,18,19.3134763240814,1.00004222782222,0.002013560956309,0.026043152382778,0.000152862120763,0.025587122094842
1,40,18,18.5029680728912,1.00030437927222,0.00266169918912,0.024434561653333,7.46330668801266E-05,0.024046710708445
1.1,1,18,218.209584712982,1.10012893472222,0.002333244706189,1.41889406088889,0.011315404763592,0.798332549068684
1.1,1.05555555555556,18,209.702826738358,1.10038090538889,0.003602609837303,0.985656736516667,0.014447654886481,0.428698482140642
1.1,1.11111111111111,18,201.289513111114,1.10094700755556,0.002980531154203,0.6912186247,0.01798754163604,0.188563800125632
1.1,1.16666666666667,18,194.244609117508,1.09900568405556,0.002326323760312,0.481171081083333,0.014689645245229,0.025248337705225
1.1,1.22222222222222,18,188.893930673599,1.10011867055556,0.002613891483076,0.344025412265,0.008835710037928,-0.07139179812704
1.1,1.27777777777778,18,182.11930680275,1.10061928888889,0.00283733212609,0.241546587470278,0.00773616248657,-0.138532674967805
1.1,1.33333333333333,18,177.835254907608,1.10065293916667,0.003096741155358,0.1700325305039,0.009071210138307,-0.179033319894968
1.1,1.38888888888889,18,172.110781908035,1.09996316694444,0.002803580204968,0.126795488243374,0.010852412070505,-0.19490359948422
1.1,1.44444444444444,18,186.319493055344,1.09886558566667,0.002761404122956,0.093354374462335,0.006377105701198,-0.204074515818357
1.1,1.5,18,199.595339775085,1.09970792705556,0.002806853748098,0.071276204600395,0.007532572511934,-0.204528911764141
1.1,8,18,62.7991127967835,1.09928865094444,0.002900752624255,0.076835768911667,0.000957392873808,0.067139495289476
1.1,11.5555555555556,18,50.8290693759918,1.1007651225,0.002208922931837,0.066345388033333,0.000886508118644,0.061698061622697
1.1,15.1111111111111,18,40.7392559051514,1.09963065272222,0.002058975120687,0.056877294752778,0.000351798764426,0.054159654048981
1.1,18.6666666666667,18,35.865541934967,1.10020432377778,0.00251456043375,0.049488640287778,0.000344705080853,0.047707692071457
1.1,22.2222222222222,18,30.7940173149109,1.09994531938889,0.002056341066306,0.043666663271111,0.000207628955657,0.042410026209675
1.1,25.7777777777778,18,27.6292746067047,1.10061472383333,0.001919004538269,0.039183792452778,0.000257285829784,0.03824990640831
1.1,29.3333333333333,18,26.482164144516,1.10100262583333,0.001940852238184,0.035430990098889,0.000179723965185,0.034709779664181
1.1,32.8888888888889,18,24.5775878429413,1.099490564,0.002357738385777,0.032295260543889,0.000161080231002,0.031721558452291
1.1,36.4444444444444,18,22.9527084827423,1.10023317011111,0.001744113335915,0.02970040454,0.000118447786891,0.029233183740834
1.1,40,18,22.1614601612091,1.10024895811111,0.001457997182394,0.027569741971667,0.000148536842784,0.027181891026779
1.2,1,18,264.116602659225,1.19971659411111,0.003506279034281,1.83561388177778,0.020944357791854,1.21505236995757
1.2,1.08888888888889,18,248.905061721802,1.20023072811111,0.003870239993721,1.14071930248889,0.023003502910064,0.617338602182387
1.2,1.17777777777778,18,238.490911245346,1.20033247922222,0.002208259791728,0.737378677,0.009704484186342,0.290017672572833
1.2,1.26666666666667,18,225.135154485702,1.20048303227778,0.003540812288132,0.497096415705556,0.011443734441639,0.110319850166648
1.2,1.35555555555556,18,217.851714372635,1.200007183,0.002799691323017,0.352763889991667,0.007223662797941,0.015049011884731
1.2,1.44444444444444,18,203.140246629715,1.19947476566667,0.002416179323633,0.267024887540111,0.007840624815199,-0.030404002740581
1.2,1.53333333333333,18,192.409067153931,1.20082852372222,0.002192180453168,0.217016546862694,0.005962402417303,-0.046927385385977
1.2,1.62222222222222,18,185.340527772903,1.2005282,0.003551520343812,0.184420198180119,0.0081209204645,-0.05139084731358
1.2,1.71111111111111,18,179.440341949463,1.19984284961111,0.002997809402102,0.162986598739278,0.007232860922703,-0.048960957583191
1.2,1.8,18,173.215147018433,1.19892252183333,0.003569978634765,0.147068555782,0.005739684149763,-0.044462775026706
1.2,5,18,85.95876288414,1.198804266,0.002378742547746,0.112948240463333,0.00195143852995,0.088125779990525
1.2,8.88888888888889,18,57.7255923748016,1.20022674077778,0.002498350648299,0.090862835319445,0.000764497130949,0.083008853685471
1.2,12.7777777777778,18,44.4247553348541,1.20000652527778,0.002047320058703,0.073260638362222,0.000548038134658,0.069459845737841
1.2,16.6666666666667,18,37.7244908809662,1.20056674738889,0.002297919561232,0.061256721551111,0.000305282811009,0.059022700108558
1.2,20.5555555555556,18,32.4393267631531,1.20018695522222,0.002180688858362,0.052451096616667,0.000325520361491,0.050982419262177
1.2,24.4444444444444,18,30.731876373291,1.20061002855556,0.002680557842851,0.045911028975556,0.000178957450236,0.044872485949576
1.2,28.3333333333333,18,27.1581945419312,1.20010678961111,0.00176154585866,0.040764940717222,0.000170441357869,0.039991922917031
1.2,32.2222222222222,18,25.3042061328888,1.20015406838889,0.002483413171159,0.036701413107222,0.00017397858994,0.036103726038763
1.2,36.1111111111111,18,23.5970864295959,1.19943141822222,0.00230071338103,0.033357993142778,0.000145878193464,0.032882106918329
1.2,40,18,22.4895555973053,1.20003145283333,0.002124973024335,0.030547961568333,0.000146927086391,0.030160110623445
1.5,12,18,43.7253115177155,1.50070627022222,0.002934924297501,0.108677217841667,0.000503950165246,0.104367762898471
1.5,8.58064516129032,18,56.0915682315826,1.49945337672222,0.002741603399289,0.138846831561111,0.000581874957232,0.130418435200955
