run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.070403384    1.4231882 -0.075684814 
   20500   0.99364693  0.051216693   0.74687622  -0.74247436 
   20600     1.015387  0.052124993   0.76550901  -0.75642715 
   20700    1.0189071  0.057298489   0.77582506   -0.7513873 
   20800    1.0040453  0.052460281   0.77532362  -0.72961279 
   20900    0.9918132  0.061804579   0.77043623  -0.71616582 
   21000    1.0009317  0.046899863   0.76441078  -0.73585872 
   21100    1.0034608  0.053489436   0.75535164  -0.74870876 
   21200     1.004412  0.056007694   0.74028956  -0.76519652 
   21300    0.9890271  0.054434027   0.71616004  -0.76626599 
   21400   0.98082454  0.050055259   0.69320989  -0.77692156 
   21500   0.96687759  0.051992748   0.68394307  -0.76528366 
   21600   0.97864174  0.050557837   0.69640587  -0.77045384 
   21700    1.0094369  0.058384892   0.73456181  -0.77845596 
   21800    1.0352004  0.054115407   0.77085404  -0.78077984 
   21900    1.0368432  0.058336204   0.77671977   -0.7773765 
   22000    1.0195647  0.054001855   0.75655482  -0.77164318 
   22100    1.0127252  0.044338704   0.72595658  -0.79198995 
   22200    1.0065639    0.0588504   0.70357143  -0.80514011 
   22300   0.99926429  0.048241129   0.69195159  -0.80581871 
   22400   0.98703863  0.051211454   0.68895664  -0.79048894 
   22500   0.98783511  0.049005753   0.69494171  -0.78569769 
   22600   0.99088649  0.055884777   0.71138857  -0.77382446 
   22700    1.0145786  0.051928465   0.73262408  -0.78810045 
   22800    1.0261938  0.053620155   0.74726765  -0.79086658 
   22900    1.0145954  0.050501997   0.74853592   -0.7722138 
   23000     1.011003  0.053114292   0.73154034  -0.78382476 
   23100   0.99380424  0.051044574   0.68505509  -0.80453129 
   23200   0.96372905  0.048602234   0.64660628   -0.7979012 
   23300   0.95969117  0.041136903   0.64381761  -0.79463759 
   23400   0.99834437  0.047857723   0.66949524  -0.82689621 
   23500    1.0213527  0.048540058   0.69649947   -0.8343786 
   23600    1.0185224  0.051533196   0.70492189  -0.82171389 
   23700    1.0078495  0.051000634   0.69923259  -0.81140577 
   23800    1.0042542  0.055053756   0.68720739  -0.81804221 
   23900    1.0105842  0.049512082   0.66670396  -0.84803342 
